ZIPCODE;DATETIME;MIN;MAX;COUNT;SUM
**80100-6;2016 W37;1.0;1.0;4.0;4.0
**80170-9;2016 W36;2.0;2.0;1.0;2.0
**80170-9;2016 W37;2.0;4.0;7.0;18.0
**80050-4;2016 W37;3.0;3.0;1.0;3.0
**80000-4;2016 W37;3.0;3.0;1.0;3.0
**80200-2;2016 W37;2.0;3.0;2.0;5.0
**80170-1;2016 W37;1.0;1.0;1.0;1.0
**80180-3;2016 W37;2.0;2.0;3.0;6.0
**80020-3;2016 W37;1.0;3.0;5.0;10.0
**80060-5;2016 W36;2.0;2.0;1.0;2.0
**80060-5;2016 W37;1.0;8.0;5.0;14.0
**80000-7;2016 W36;1.0;1.0;1.0;1.0
**80000-7;2016 W37;1.0;4.0;5.0;12.0
**80090-1;2016 W36;2.0;2.0;1.0;2.0
**80040-8;2016 W37;1.0;3.0;3.0;5.0
**80070-0;2016 W37;2.0;4.0;6.0;16.0
**80040-4;2016 W37;2.0;2.0;5.0;10.0
**80080-0;2016 W36;4.0;4.0;1.0;4.0
**80080-0;2016 W37;2.0;3.0;4.0;11.0
**80020-9;2016 W37;1.0;1.0;4.0;4.0
**80130-8;2016 W37;1.0;5.0;6.0;13.0
**80080-6;2016 W37;1.0;1.0;1.0;1.0
**80030-0;2016 W37;1.0;1.0;1.0;1.0
**80000-7;2016 W37;1.0;1.0;1.0;1.0
**80020-8;2016 W37;1.0;1.0;1.0;1.0
**80090-3;2016 W37;1.0;4.0;6.0;14.0
**80210-2;2016 W36;5.0;5.0;1.0;5.0
**80210-2;2016 W37;2.0;4.0;6.0;15.0
**80110-4;2016 W37;2.0;4.0;6.0;14.0
**80040-5;2016 W37;2.0;2.0;1.0;2.0
**80230-5;2016 W37;1.0;3.0;4.0;7.0
**80000-5;2016 W37;2.0;2.0;4.0;8.0
**80110-1;2016 W37;1.0;3.0;6.0;12.0
**80040-6;2016 W37;1.0;2.0;5.0;9.0
**80210-7;2016 W37;2.0;2.0;1.0;2.0
**80100-2;2016 W37;2.0;2.0;1.0;2.0
**80090-6;2016 W37;2.0;4.0;2.0;6.0
**80030-3;2016 W37;1.0;3.0;5.0;9.0
**80120-4;2016 W37;2.0;2.0;2.0;4.0
**80000-6;2016 W36;2.0;2.0;1.0;2.0
**80000-6;2016 W37;1.0;4.0;4.0;9.0
**80120-8;2016 W37;1.0;2.0;5.0;9.0
**80150-7;2016 W37;1.0;3.0;5.0;8.0
**80130-5;2016 W37;2.0;3.0;4.0;10.0
**80060-1;2016 W36;6.0;6.0;1.0;6.0
**80060-1;2016 W37;2.0;4.0;3.0;10.0
**80120-0;2016 W36;5.0;5.0;1.0;5.0
**80120-0;2016 W37;2.0;3.0;5.0;11.0
**80130-9;2016 W37;1.0;2.0;4.0;7.0
**80050-5;2016 W37;2.0;2.0;1.0;2.0
**80240-5;2016 W37;3.0;4.0;2.0;7.0
**80050-3;2016 W37;3.0;4.0;4.0;14.0
**80110-0;2016 W37;2.0;4.0;5.0;12.0
**80070-4;2016 W36;4.0;4.0;1.0;4.0
**80070-4;2016 W37;1.0;3.0;5.0;8.0
**80190-7;2016 W37;1.0;1.0;1.0;1.0
**80180-0;2016 W37;1.0;1.0;1.0;1.0
**80130-2;2016 W36;1.0;1.0;1.0;1.0
**80130-2;2016 W37;1.0;3.0;2.0;4.0
**80020-3;2016 W36;3.0;3.0;1.0;3.0
**80020-3;2016 W37;2.0;3.0;5.0;12.0
**80170-2;2016 W37;1.0;2.0;5.0;8.0
**80210-2;2016 W37;3.0;3.0;1.0;3.0
**80200-5;2016 W37;1.0;3.0;5.0;10.0
**80000-2;2016 W37;2.0;2.0;1.0;2.0
**80080-7;2016 W37;1.0;5.0;4.0;12.0
**80200-0;2016 W37;1.0;1.0;3.0;3.0
**80040-5;2016 W37;2.0;2.0;2.0;4.0
**80080-8;2016 W37;1.0;1.0;1.0;1.0
**80100-8;2016 W37;2.0;4.0;3.0;8.0
**80120-5;2016 W37;1.0;2.0;5.0;8.0
**80230-5;2016 W37;2.0;4.0;4.0;11.0
**80060-6;2016 W37;2.0;8.0;6.0;19.0
**80230-8;2016 W37;1.0;1.0;1.0;1.0
**80150-8;2016 W37;1.0;1.0;2.0;2.0
**80000-9;2016 W37;1.0;1.0;2.0;2.0
**80010-1;2016 W37;2.0;2.0;1.0;2.0
**80090-0;2016 W36;1.0;1.0;1.0;1.0
**80090-0;2016 W37;1.0;1.0;6.0;6.0
**80050-7;2016 W37;1.0;1.0;1.0;1.0
**80040-9;2016 W37;1.0;1.0;5.0;5.0
**80220-2;2016 W36;2.0;2.0;1.0;2.0
**80220-2;2016 W37;4.0;4.0;3.0;12.0
**80070-0;2016 W37;1.0;2.0;4.0;5.0
**80090-5;2016 W37;1.0;1.0;1.0;1.0
**80040-8;2016 W37;1.0;1.0;1.0;1.0
**80150-3;2016 W37;1.0;1.0;1.0;1.0
**80230-9;2016 W37;1.0;2.0;5.0;7.0
**80130-6;2016 W36;2.0;2.0;1.0;2.0
**80130-6;2016 W37;1.0;2.0;5.0;6.0
**80120-9;2016 W36;3.0;3.0;1.0;3.0
**80120-9;2016 W37;1.0;1.0;2.0;2.0
**80120-1;2016 W37;1.0;2.0;3.0;5.0
**80120-4;2016 W37;2.0;2.0;5.0;10.0
**80170-5;2016 W37;1.0;3.0;4.0;9.0
**80220-5;2016 W37;2.0;3.0;5.0;11.0
**80220-7;2016 W37;1.0;2.0;5.0;6.0
**80020-6;2016 W37;1.0;2.0;3.0;4.0
**80210-8;2016 W37;2.0;3.0;5.0;11.0
**80170-5;2016 W37;1.0;1.0;1.0;1.0
**80150-5;2016 W37;1.0;3.0;3.0;6.0
**80010-6;2016 W37;1.0;3.0;5.0;11.0
**80190-8;2016 W37;1.0;1.0;2.0;2.0
**80020-3;2016 W37;1.0;1.0;1.0;1.0
**80170-8;2016 W37;3.0;3.0;1.0;3.0
**80130-5;2016 W37;2.0;2.0;5.0;10.0
**80000-9;2016 W37;3.0;3.0;1.0;3.0
**80200-0;2016 W36;2.0;2.0;1.0;2.0
**80200-0;2016 W37;1.0;4.0;6.0;14.0
**80210-5;2016 W37;6.0;6.0;1.0;6.0
**80230-3;2016 W37;2.0;2.0;1.0;2.0
**80240-3;2016 W37;2.0;2.0;6.0;12.0
**80030-8;2016 W37;2.0;2.0;4.0;8.0
**80070-0;2016 W37;1.0;2.0;5.0;6.0
**80020-8;2016 W37;1.0;1.0;1.0;1.0
**80200-1;2016 W37;1.0;1.0;6.0;6.0
**80160-2;2016 W37;1.0;2.0;5.0;7.0
**80000-2;2016 W37;2.0;2.0;5.0;10.0
**80150-6;2016 W37;1.0;3.0;4.0;8.0
**80040-5;2016 W37;1.0;3.0;5.0;9.0
**80080-3;2016 W37;2.0;4.0;3.0;9.0
**80080-8;2016 W37;1.0;3.0;3.0;6.0
**80070-7;2016 W37;1.0;1.0;3.0;3.0
**80130-1;2016 W37;1.0;1.0;1.0;1.0
**80120-9;2016 W37;2.0;2.0;5.0;10.0
**80040-2;2016 W37;6.0;6.0;1.0;6.0
**80160-3;2016 W37;2.0;4.0;2.0;6.0
**80120-8;2016 W37;1.0;2.0;4.0;6.0
**80020-7;2016 W37;1.0;2.0;6.0;8.0
**80110-1;2016 W37;1.0;2.0;4.0;7.0
**80220-8;2016 W37;1.0;2.0;4.0;7.0
**80030-1;2016 W37;1.0;1.0;4.0;4.0
**80110-0;2016 W36;2.0;2.0;1.0;2.0
**80110-0;2016 W37;2.0;4.0;3.0;9.0
**80050-5;2016 W37;1.0;2.0;5.0;6.0
**80130-1;2016 W37;2.0;2.0;3.0;6.0
**80210-2;2016 W37;2.0;3.0;4.0;9.0
**80070-2;2016 W37;2.0;4.0;6.0;14.0
**80170-6;2016 W37;1.0;1.0;1.0;1.0
**80080-6;2016 W36;3.0;3.0;1.0;3.0
**80080-6;2016 W37;1.0;2.0;4.0;7.0
**80200-3;2016 W37;2.0;2.0;1.0;2.0
**80130-8;2016 W37;2.0;2.0;4.0;8.0
**80240-9;2016 W37;1.0;2.0;5.0;8.0
**80080-9;2016 W37;2.0;4.0;4.0;11.0
**80080-8;2016 W37;2.0;2.0;1.0;2.0
**80150-2;2016 W37;1.0;4.0;3.0;7.0
**80080-1;2016 W37;1.0;5.0;6.0;19.0
**80240-5;2016 W36;1.0;1.0;1.0;1.0
**80240-5;2016 W37;2.0;5.0;7.0;17.0
**80130-4;2016 W36;1.0;1.0;1.0;1.0
**80210-9;2016 W37;1.0;2.0;2.0;3.0
**80220-8;2016 W37;1.0;1.0;1.0;1.0
**80020-0;2016 W37;2.0;2.0;6.0;12.0
**80020-9;2016 W37;2.0;2.0;3.0;6.0
**80160-1;2016 W37;2.0;2.0;5.0;10.0
**80180-4;2016 W37;1.0;3.0;5.0;9.0
